"Step","Name: simclr_ict_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: ict_acc_metric_3 - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: sup_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: sup_ewc_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_ict_ewc_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_ewc_detached_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: ict_ewc_acc_metric - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_etached_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_ewc_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy"
"1246800","undefined","0.359499990940094","undefined","0.3334999978542328","undefined","0.3409999907016754","undefined","0.351500004529953","0.40450000762939453","undefined"
"1249800","0.3630000054836273","undefined","0.3125","undefined","0.3580000102519989","undefined","0.3619999885559082","undefined","undefined","0.3790000081062317"
"2493600","0.3307499885559082","undefined","undefined","undefined","0.3752500116825104","undefined","0.34975001215934753","undefined","undefined","0.3714999854564667"
"2499600","undefined","0.2475000023841858","0.23274999856948853","0.3190000057220459","undefined","0.3540000021457672","undefined","0.33250001072883606","0.39500001072883606","undefined"
"3740400","0.26766666769981384","undefined","undefined","undefined","0.3675000071525574","undefined","0.3371666669845581","undefined","undefined","0.30550000071525574"
"3746400","undefined","0.19366666674613953","undefined","0.31166666746139526","undefined","0.3356666564941406","undefined","0.304833322763443","0.3858333230018616","undefined"
"3752400","undefined","undefined","0.18933333456516266","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"4984200","0.2253749966621399","undefined","undefined","undefined","0.3605000078678131","undefined","0.3230000138282776","undefined","undefined","0.2847500145435333"
"4999200","undefined","0.16987499594688416","0.1577499955892563","0.3097499907016754","undefined","0.33024999499320984","undefined","0.27912500500679016","0.3610000014305115","undefined"
"6228000","0.2184000015258789","undefined","undefined","undefined","0.3700000047683716","undefined","0.32280001044273376","undefined","undefined","0.2797999978065491"
"6249000","undefined","0.16279999911785126","undefined","0.31299999356269836","undefined","0.3361999988555908","undefined","0.2879999876022339","0.3776000142097473","undefined"
"6252000","undefined","undefined","0.15039999783039093","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
