"Step","Name: ict_acc_metric_3 - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_ict_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: sup_ewc_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: sup_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_ewc_detached_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: ict_ewc_acc_metric - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_etached_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_ict_ewc_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_ewc_accmetr - Task_losses/Task0/metrics/supervised/accuracy"
"1246800","undefined","0.4000000059604645","undefined","0.34950000047683716","undefined","undefined","undefined","0.38600000739097595","undefined","undefined"
"1249800","0.3605000078678131","undefined","0.3305000066757202","undefined","0.3395000100135803","0.34850001335144043","0.33550000190734863","undefined","0.38100001215934753","0.39149999618530273"
"2493600","0.11249999701976776","undefined","0.3330000042915344","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"2499600","undefined","0.19249999523162842","undefined","0.09549999982118607","0.32899999618530273","0.33550000190734863","0.25600001215934753","0.38850000500679016","0.22849999368190765","0.390500009059906"
"3740400","0.07999999821186066","undefined","0.32850000262260437","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3746400","undefined","0.12700000405311584","undefined","0.05400000140070915","undefined","undefined","undefined","0.3955000042915344","undefined","undefined"
"3752400","undefined","undefined","undefined","undefined","0.3230000138282776","0.3395000100135803","0.2160000056028366","undefined","0.1589999943971634","0.3880000114440918"
"4984200","0.050999999046325684","undefined","0.32249999046325684","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"4999200","undefined","0.1185000017285347","undefined","0.05700000002980232","0.3089999854564667","0.3240000009536743","0.19499999284744263","0.3824999928474426","0.14650000631809235","0.39100000262260437"
"6228000","0.05299999937415123","undefined","0.3310000002384186","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"6249000","undefined","0.07999999821186066","undefined","0.04600000008940697","undefined","undefined","undefined","0.3959999978542328","undefined","undefined"
"6252000","undefined","undefined","undefined","undefined","0.320499986410141","0.34150001406669617","0.18549999594688416","undefined","0.15549999475479126","0.38850000500679016"
