"Step","Name: sup_ewc_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: sup_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: ict_acc_metric_3 - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_ict_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: ict_ewc_acc_metric - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_ict_ewc_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_ewc_detached_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_ewc_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_etached_accmetr - Task_losses/Task0/metrics/supervised/accuracy","Name: simclr_accmetr - Task_losses/Task0/metrics/supervised/accuracy"
"1246800","undefined","undefined","undefined","undefined","0.3555000126361847","undefined","undefined","undefined","undefined","0.38600000739097595"
"1249800","0.3140000104904175","0.32499998807907104","0.3370000123977661","0.36399999260902405","undefined","0.3634999990463257","0.351500004529953","0.3695000112056732","0.32749998569488525","undefined"
"2493600","undefined","0.07599999755620956","undefined","undefined","undefined","undefined","0.3400000035762787","0.37299999594688416","0.23350000381469727","undefined"
"2499600","0.31200000643730164","undefined","0.10750000178813934","0.22699999809265137","0.3434999883174896","0.36800000071525574","undefined","undefined","undefined","0.2304999977350235"
"3740400","undefined","0.06949999928474426","undefined","undefined","undefined","undefined","0.33550000190734863","0.3610000014305115","0.22949999570846558","undefined"
"3746400","undefined","undefined","undefined","undefined","0.3540000021457672","undefined","undefined","undefined","undefined","0.19750000536441803"
"3752400","0.31450000405311584","undefined","0.07649999856948853","0.1340000033378601","undefined","0.3709999918937683","undefined","undefined","undefined","undefined"
"4984200","undefined","0.05299999937415123","undefined","undefined","undefined","undefined","0.31450000405311584","0.3474999964237213","0.20900000631809235","undefined"
"4999200","0.30799999833106995","undefined","0.06750000268220901","0.12049999833106995","0.335999995470047","0.3569999933242798","undefined","undefined","undefined","0.1720000058412552"
"6228000","undefined","0.07050000131130219","undefined","undefined","undefined","undefined","0.3434999883174896","0.37599998712539673","0.1704999953508377","undefined"
"6249000","undefined","undefined","undefined","undefined","0.3540000021457672","undefined","undefined","undefined","undefined","0.17299999296665192"
"6252000","0.3165000081062317","undefined","0.06350000202655792","0.13249999284744263","undefined","0.37049999833106995","undefined","undefined","undefined","undefined"
