"Step","Name: sup_ewc_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: sup_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: ict_acc_metric_3 - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_ict_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: ict_ewc_acc_metric - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_ict_ewc_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_ewc_detached_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_ewc_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_etached_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy","Name: simclr_accmetr - Cumulative/losses/Test/losses/supervised/metrics/supervised/accuracy"
"1246800","undefined","undefined","undefined","undefined","0.3555000126361847","undefined","undefined","undefined","undefined","0.38600000739097595"
"1249800","0.3140000104904175","0.32499998807907104","0.3370000123977661","0.36399999260902405","undefined","0.3634999990463257","0.351500004529953","0.3695000112056732","0.32749998569488525","undefined"
"2493600","undefined","0.2252500057220459","undefined","undefined","undefined","undefined","0.3502500057220459","0.37975001335144043","0.320250004529953","undefined"
"2499600","0.296999990940094","undefined","0.25824999809265137","0.3244999945163727","0.3370000123977661","0.3762499988079071","undefined","undefined","undefined","0.3462499976158142"
"3740400","undefined","0.18766666948795319","undefined","undefined","undefined","undefined","0.3318333327770233","0.3551666736602783","0.31850001215934753","undefined"
"3746400","undefined","undefined","undefined","undefined","0.328000009059906","undefined","undefined","undefined","undefined","0.296999990940094"
"3752400","0.2926666736602783","undefined","0.20983333885669708","0.242166668176651","undefined","0.36933332681655884","undefined","undefined","undefined","undefined"
"4984200","undefined","0.15137499570846558","undefined","undefined","undefined","undefined","0.32100000977516174","0.34950000047683716","0.2955000102519989","undefined"
"4999200","0.2915000021457672","undefined","0.17900000512599945","0.22612500190734863","0.31700000166893005","0.3568750023841858","undefined","undefined","undefined","0.2906250059604645"
"6228000","undefined","0.15240000188350677","undefined","undefined","undefined","undefined","0.33889999985694885","0.35929998755455017","0.2750999927520752","undefined"
"6249000","undefined","undefined","undefined","undefined","0.3199000060558319","undefined","undefined","undefined","undefined","0.26570001244544983"
"6252000","0.2953999936580658","undefined","0.16120000183582306","0.21459999680519104","undefined","0.36570000648498535","undefined","undefined","undefined","undefined"
